"","plot","year","integrated_ndvi","annual_mean","annual_median","winter_spring_mean","winter_spring_median","winter_spring_max","winter_spring_integrated","summer_mean","summer_median","summer_max","summer_integrated","n_winter_spring","n_summer","n_total"
"278","MM1",2022,136.060126845943,0.372767470810801,0.358756498788844,0.358702782140615,0.366500444045063,0.419907455943575,54.1641201032329,0.345869939825045,0.335716720048932,0.448026247279916,31.8200344639042,151,92,365
"279","MM1",2023,139.473231934639,0.382118443656545,0.351093677712626,0.426979004080679,0.440531023675181,0.53904574709277,64.4738296161825,0.330733909010341,0.333856188195163,0.353166983408035,30.4275196289514,151,92,365
"280","MM1",2024,137.611678633364,0.378054062179572,0.372269976361638,0.387977035938516,0.39061840233179,0.453666938620104,58.9725094626544,0.334331052642698,0.328991753634008,0.372475280271518,30.7584568431282,152,92,364
"281","MM2",1985,124.02749674806,0.410687075324703,0.337295164399266,0.336948132718112,0.336954910141272,0.337014370219651,29.6514356791939,0.34456245903016,0.337019412836015,0.439024988053752,31.6997462307747,88,92,302
"282","MM2",1986,138.207137361967,0.37864969140265,0.37739607094537,0.429760309597256,0.426320574901023,0.590745146468838,64.8938067491857,0.358473360681686,0.359096825059029,0.390936465365219,32.9795491827151,151,92,365
"283","MM2",1987,148.205960605774,0.406043727687053,0.348449695589795,0.329612216097011,0.329222446291136,0.353383074433673,49.7714446306486,0.38685787505561,0.344902168881728,0.545531799157317,35.5909245051161,151,92,365
"284","MM2",1988,159.780539146793,0.436558850127849,0.382726428525327,0.458133736225921,0.388723148159921,0.627262731702171,69.6363279063399,0.355665099455346,0.354713526662111,0.410254420989014,32.7211891498918,152,92,366
"285","MM2",1989,177.315057828258,0.485794678981529,0.483174674366637,0.490498332185989,0.497243557222338,0.536137079957479,74.0652481600845,0.498621559931116,0.502559776799988,0.521376466392285,45.8731835136627,151,92,365
"286","MM2",1990,160.859166436071,0.440710045030332,0.438795679727589,0.487632299401345,0.509639181633718,0.526634792094105,73.632477209603,0.387397518206105,0.382310009620781,0.42570334405406,35.6405716749616,151,92,365
"287","MM2",1991,164.199885688799,0.449862700517259,0.451429068907829,0.44334690340667,0.452429123409014,0.45559369140398,66.9453824144072,0.371859953468111,0.36038091572976,0.47331829896663,34.2111157190662,151,92,365
